Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,19.38,19.76,19.31,19.65,32388300,19.22
2012-12-28,19.49,19.64,19.42,19.45,24596400,19.02
2012-12-27,19.89,19.91,19.45,19.65,35286600,19.22
2012-12-26,19.83,20.07,19.75,19.92,22083800,19.48
2012-12-24,19.87,19.96,19.74,19.83,12550700,19.39
2012-12-21,19.95,20.05,19.59,19.96,67611700,19.52
2012-12-20,20.27,20.33,20.15,20.24,29942600,19.79
2012-12-19,20.42,20.54,20.24,20.27,38097400,19.82
2012-12-18,20.10,20.42,20.02,20.38,41963100,19.93
2012-12-17,19.88,20.14,19.80,20.11,46857100,19.67
2012-12-14,19.74,20.00,19.69,19.86,40804400,19.42
2012-12-13,19.69,19.84,19.60,19.74,37844200,19.30
2012-12-12,19.84,19.89,19.69,19.73,38701100,19.29
2012-12-11,19.85,20.07,19.67,19.78,58464200,19.34
2012-12-10,19.35,19.90,19.34,19.79,62863500,19.35
2012-12-07,19.60,19.74,19.16,19.34,50602300,18.91
2012-12-06,19.22,19.50,19.20,19.48,35834800,19.05
2012-12-05,19.16,19.45,19.14,19.21,36982900,18.79
2012-12-04,19.08,19.20,19.00,19.17,34313500,18.75
2012-12-03,19.02,19.16,18.95,19.03,32381500,18.61
2012-11-30,19.04,19.13,18.83,18.91,45199100,18.49
2012-11-29,18.98,19.10,18.92,19.01,32450600,18.59
2012-11-28,18.89,18.96,18.55,18.83,41262800,18.41
2012-11-27,18.90,19.10,18.84,18.96,53080000,18.54
2012-11-26,18.79,19.07,18.59,19.06,34603000,18.50
2012-11-23,18.60,18.89,18.53,18.84,17263100,18.29
2012-11-21,18.37,18.62,18.27,18.48,30479300,17.94
2012-11-20,18.29,18.36,18.07,18.34,30378100,17.80
2012-11-19,18.27,18.34,18.10,18.30,40616400,17.76
2012-11-16,17.93,18.05,17.80,17.99,60820500,17.46
2012-11-15,17.75,18.08,17.74,17.94,55885900,17.41
2012-11-14,18.05,18.25,17.62,17.66,97058200,17.14
2012-11-13,16.71,16.94,16.69,16.85,72206200,16.36
2012-11-12,16.86,17.09,16.75,16.86,28768400,16.37
2012-11-09,16.70,17.03,16.68,16.82,43085800,16.33
2012-11-08,17.22,17.36,16.78,16.83,56064800,16.34
2012-11-07,17.45,17.90,17.09,17.21,49610000,16.71
2012-11-06,17.44,17.71,17.35,17.48,35544700,16.97
2012-11-05,17.33,17.44,17.20,17.40,22190800,16.89
2012-11-02,17.64,17.68,17.31,17.35,28769400,16.84
2012-11-01,17.17,17.58,17.00,17.51,32484300,17.00
2012-10-31,17.38,17.43,17.01,17.15,36797100,16.65
2012-10-26,17.20,17.39,17.11,17.29,31188400,16.78
2012-10-25,17.53,17.53,17.07,17.20,46349800,16.70
2012-10-24,18.03,18.08,17.29,17.38,61961200,16.87
2012-10-23,18.00,18.17,17.94,18.01,33985300,17.48
2012-10-22,18.12,18.23,18.01,18.19,26334500,17.66
2012-10-19,18.58,18.60,18.00,18.04,63724300,17.51
2012-10-18,18.61,18.75,18.50,18.61,40270300,18.07
2012-10-17,18.57,18.80,18.50,18.71,28359400,18.16
2012-10-16,18.63,18.91,18.55,18.85,28580200,18.30
2012-10-15,18.49,18.64,18.41,18.55,27799100,18.01
2012-10-12,18.26,18.46,18.22,18.41,27099200,17.87
2012-10-11,18.47,18.48,18.15,18.26,28339700,17.73
2012-10-10,18.80,18.80,18.29,18.31,42085700,17.77
2012-10-09,18.93,19.06,18.76,18.80,42377800,18.25
2012-10-08,18.89,19.08,18.81,18.90,24170900,18.35
2012-10-05,19.04,19.14,18.80,18.86,27750400,18.31
2012-10-04,19.01,19.05,18.85,18.90,29734700,18.35
2012-10-03,18.96,19.10,18.88,18.93,33816700,18.38
2012-10-02,19.09,19.14,18.73,18.87,34712100,18.32
2012-10-01,19.23,19.40,18.94,19.04,37481100,18.35
2012-09-28,19.00,19.36,19.00,19.10,61124700,18.40
2012-09-27,18.68,18.88,18.55,18.80,29813600,18.12
2012-09-26,18.69,18.75,18.35,18.58,30273700,17.90
2012-09-25,18.95,18.97,18.63,18.67,33991600,17.99
2012-09-24,18.86,18.98,18.69,18.81,32180400,18.13
2012-09-21,19.15,19.20,18.89,18.90,42198200,18.21
2012-09-20,19.03,19.11,18.90,19.11,25116000,18.41
2012-09-19,19.18,19.21,18.95,19.12,29693900,18.42
2012-09-18,19.06,19.27,19.01,19.05,45475300,18.36
2012-09-17,19.16,19.31,19.06,19.16,36731800,18.46
2012-09-14,19.36,19.69,19.34,19.49,46351900,18.78
2012-09-13,19.06,19.52,19.02,19.36,37780500,18.66
2012-09-12,19.11,19.27,19.04,19.08,28482200,18.39
2012-09-11,19.12,19.25,18.93,19.04,31320100,18.35
